0	226	27	46	46	46	46	46	46	46	46
46	46	46	46	46	46	46	46	46	46	46
46	46	82	88	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	135	141	152
152	152	152	152	152	152	152	152	152	152	152
152	152	152	152	152	152	152	152	152	152	152
152	152	152	152	152	152	152	152	152	152	152
152	188	194	209	267	281	298	340	340	340	390
396	298	340	340	340	390	396	298	340	340	340
390	396	298	340	340	340	390	396	298	340	340
340	390	396	298	340	340	340	390	396	298	340
340	340	390	396	426	432	281	298	340	340	340
390	396	298	340	340	340	390	396	298	340	340
340	390	396	298	340	340	340	390	396	298	340
340	340	390	396	298	340	340	340	390	396	298
340	340	340	390	396	426	432	281	298	340	340
340	390	396	298	340	340	340	390	396	298	340
340	340	390	396	298	340	340	340	390	396	298
340	340	340	390	396	298	340	340	340	390	396
298	340	340	340	390	396	426	432	281	298	340
340	340	390	396	298	340	340	340	390	396	298
340	340	340	390	396	298	340	340	340	390	396
298	340	340	340	390	396	298	340	340	340	390
396	298	340	340	340	390	396	426	432	281	298
340	340	340	390	396	298	340	340	340	390	396
298	340	340	340	390	396	298	340	340	340	390
396	298	340	340	340	390	396	298	340	340	340
390	396	298	340	340	340	390	396	426	432	451
457	472	21	489	
