0	465	88	129	129	129	129	129	129	129	129
129	129	129	129	129	129	129	129	129	129	129
129	129	202	212	229	229	229	229	229	229	229
229	229	229	229	229	229	229	229	302	312	329
329	329	329	329	329	329	329	329	329	329	329
329	329	329	329	329	329	329	329	329	329	329
329	329	329	329	329	329	329	329	329	329	329
329	402	412	435	550	572	599	692	692	692	813
823	599	692	692	692	813	823	599	692	692	692
813	823	599	692	692	692	813	823	599	692	692
692	813	823	599	692	692	692	813	823	599	692
692	692	813	823	884	894	572	599	692	692	692
813	823	599	692	692	692	813	823	599	692	692
692	813	823	599	692	692	692	813	823	599	692
692	692	813	823	599	692	692	692	813	823	599
692	692	692	813	823	884	894	572	599	692	692
692	813	823	599	692	692	692	813	823	599	692
692	692	813	823	599	692	692	692	813	823	599
692	692	692	813	823	599	692	692	692	813	823
599	692	692	692	813	823	884	894	572	599	692
692	692	813	823	599	692	692	692	813	823	599
692	692	692	813	823	599	692	692	692	813	823
599	692	692	692	813	823	599	692	692	692	813
823	599	692	692	692	813	823	884	894	572	599
692	692	692	813	823	599	692	692	692	813	823
599	692	692	692	813	823	599	692	692	692	813
823	599	692	692	692	813	823	599	692	692	692
813	823	599	692	692	692	813	823	884	894	925
935	958	67	988	
